"","yearel","difdemshare","mdemsharenext","mdemshareprev"
"2",1948,0.104869484901428,0.589743673801422,0.506685197353363
"5",1948,0.0329447984695435,0.544944763183594,0.501775443553925
"8",1948,0.00670066475868225,0.539007782936096,0.497000336647034
"11",1948,-0.117628067731857,0.421190738677979,0.445347845554352
"14",1948,-0.0366211533546448,0.463498711585999,0.4673912525177
"17",1948,-0.00450673699378967,0.452087700366974,0.453472971916199
"20",1948,-0.143570423126221,0.380722761154175,0.420196175575256
"23",1948,0.0973416864871979,0.56675124168396,0.535502552986145
"29",1948,0.183480381965637,0.636393308639526,0.61733740568161
"41",1948,-0.0207050740718842,0.478721141815186,0.520916044712067
"44",1948,-0.133367568254471,0.396961212158203,0.383705943822861
"56",1948,-0.131244391202927,0.396961212158203,0.383705943822861
"59",1948,-0.227456003427505,0.373815447092056,0.373321533203125
"62",1948,-0.115902781486511,0.421190738677979,0.445347845554352
"65",1948,-0.15650999546051,0.422813564538956,0.382385939359665
"68",1948,0.240359157323837,0.641158401966095,0.630519151687622
"71",1948,0.193116217851639,0.678367853164673,0.604167699813843
"74",1948,-0.215925425291061,0.371206998825073,0.412021726369858
"77",1948,-0.0157825350761414,0.447776228189468,0.481011390686035
"80",1948,-0.0724698603153229,0.448143571615219,0.441522657871246
"83",1948,-0.241838812828064,0.383287221193314,0.350013911724091
"86",1948,-0.185423195362091,0.35799053311348,0.392098784446716
"89",1948,0.230103343725204,0.624011635780334,0.607193648815155
"92",1948,-0.161006361246109,0.371515184640884,0.403639167547226
"95",1948,-0.144874602556229,0.380722761154175,0.420196175575256
"98",1948,-0.129317194223404,0.391132682561874,0.40867230296135
"101",1948,-0.00118827819824219,0.452087700366974,0.453472971916199
"104",1948,-0.244906276464462,0.383287221193314,0.350013911724091
"107",1948,0.0498677790164948,0.567738711833954,0.525334537029266
"110",1948,0.0156278312206268,0.520029544830322,0.465887308120728
"113",1948,-0.0363967418670654,0.463498711585999,0.4673912525177
"128",1948,-0.212245941162109,0.393436163663864,0.408660441637039
"131",1948,0.0301212966442108,0.544944763183594,0.501775443553925
"134",1948,0.0669840276241302,0.577433168888092,0.543012738227844
"137",1948,0.148020654916763,0.592054784297943,0.569956600666046
"140",1948,0.19953978061676,0.62489664554596,0.606481790542603
"152",1948,0.246590495109558,0.658842325210571,0.661363184452057
"158",1948,0.17077648639679,0.592474937438965,0.59848541021347
"167",1948,0.0535843372344971,0.56830370426178,0.540523052215576
"170",1948,-0.160476297140121,0.371515184640884,0.403639167547226
"173",1948,-0.0515002012252808,0.422599375247955,0.431375712156296
"182",1948,-0.0142779648303986,0.455277919769287,0.490103662014008
"197",1948,0.206086426973343,0.591750741004944,0.580021023750305
"200",1948,-0.0873139798641205,0.407004415988922,0.466141819953918
"206",1948,-0.236561268568039,0.384374409914017,0.385249346494675
"212",1948,-0.138748615980148,0.360695838928223,0.395641356706619
"215",1948,0.145346850156784,0.592054784297943,0.569956600666046
"221",1948,-0.231078684329987,0.338507264852524,0.338756203651428
"224",1948,0.00107362866401672,0.524780869483948,0.523117542266846
"227",1948,-0.0422975420951843,0.4126837849617,0.447118937969208
"233",1948,-0.160750776529312,0.371515184640884,0.403639167547226
"239",1948,-0.0273021757602692,0.438607752323151,0.462698698043823
"242",1948,-0.197779148817062,0.396428644657135,0.410424441099167
"245",1948,-0.0441037118434906,0.4126837849617,0.447118937969208
"248",1948,0.0397292971611023,0.55524605512619,0.509494304656982
"251",1948,0.0552773177623749,0.571296095848083,0.510195434093475
"254",1948,-0.236420810222626,0.384374409914017,0.385249346494675
"257",1948,0.0685296356678009,0.577433168888092,0.543012738227844
"260",1948,0.0869630575180054,0.581187844276428,0.512545168399811
"263",1948,-0.0406204462051392,0.4126837849617,0.447118937969208
"266",1948,0.15788722038269,0.606199741363525,0.617055058479309
"269",1948,0.0145439803600311,0.518354594707489,0.472539275884628
"272",1948,-0.139339447021484,0.360695838928223,0.395641356706619
"275",1948,-0.235784858465195,0.384374409914017,0.385249346494675
"278",1948,-0.184107631444931,0.394276797771454,0.414450019598007
"284",1948,0.170210033655167,0.592474937438965,0.59848541021347
"287",1948,0.0364810228347778,0.55524605512619,0.509494304656982
